№ по частотному списку,"произношение (перетащил мышкой со словаря LINGVO, www.lingvoda.ru)",УПРОЩЕННЫЙ иероглиф,"традиционный иероглиф, до №100 (если он отличается от упрощенного)",русский перевод (компьютер-переводом),,Компонент 1,Компонент 2,Компонент 3,Компонент 4,,MAO story,Моя?
1431,ma4,骂,,"бранить(ся), ругать, оскорбление; брань",ругать(ся),рот,лошадь,,,,"Два рта, грязно РУГАЛИ И БРАНИЛИ черную (4 тон) лошадь, за то, что она гадила, где попало. Лошадь грустно выслушивала эту БРАНЬ, мечтая нагадить еще больше, только на этот раз прям им во рты.",
1432,bi4,壁,,"стена; стенка (напр., ящика); настенный, стенной","стена; стенка (напр., ящика); настенный, стенной",,,,,,,
1433,ji4,剂,,лекарство; средство; реактив; препарат,лекарство; средство; реактив; препарат,,,,,,,
1434,ta3,塔,,башня,пагода,росток,колючая проволока,дом,,,"Крышу домика специально обмотали колючей проволокой, чтобы на ней не пророс росток из земли. Дело в том, что это не простой домик, а древняя стеклянная (3 тон) ПАГОДА, БАШНЯ, охраняемая ЮНЕСКО.",
1435,gong1,宫,,дворец; замок,дворец; замок,,,,,,,
1436,qin1,侵,,вторгаться; интервенция,вторгаться; интервенция,,,,,,,
1437,hui1,恢,,широкий; обширный,широкий; обширный,,,,,,,
1438,sa4,萨,,Са (фамилия),Са (фамилия),,,,,,,
1439,xiao3,晓,,рассвет,рассвет,,,,,,,
1440, po1,坡,,"наклон, склон, скат",склон; скат,росток,казак с саблей,,,,Казак с шашкой косит росток из земли на СКЛОНЕ зеленого (1 тон) холма. НАКЛОН довольно крутой.,
1441,jie2,洁,,чистый,чистый; очищать,вода,бомбардировщик,рот,,,"Бомбардировщик пролетает надо ртом, а тот в него плюется, и брызгами слюны вымыл бомбардировщик до ЧИСТОТЫ, Он теперь ЧИСТЫЙ, ЧИСТЫЙ, ярко красный(2) и блестящий",
1442,zong4,纵,,продольный; вдоль,продольный; вдоль,,,,,,,
1443,guan1,冠,,головной убор,головной убор,,,,,,,
1444,gu1,估,,оценивать; давать оценку; прикидывать,оценивать; давать оценку; прикидывать,,,,,,,
1445,yun3,允,,разрешать; соглашаться,разрешать; соглашаться,,,,,,,
1446,rong2,融,,таять; плавиться,таять; плавиться,,,,,,,
1447,zhu4,祝,,"пожелание; желать (напр., счастья); поздравлять","пожелание; желать (напр., счастья); поздравлять",,,,,,,
1448,du4,肚,,желудок; живот,желудок; живот,,,,,,,
1449,jiang3,蒋,,Цзян (фамилия),Цзян (фамилия),,,,,,,
1450,diu1,丢,,утратить; (по)терять; бросать,утратить; (по)терять; бросать,,,,,,,
1451,gong4,贡,,"подносить, дарить","подносить, дарить",,,,,,,
1452,zhen4,振,,махать; трясти,махать; трясти,,,,,,,
1453,xiang2,详,,подробный; подробно,подробный; подробно,маньяк,баран,,,,,
1454,su4,宿,,"остановиться на ночлег, переночевать","остановиться на ночлег, переночевать",,,,,,,
1455,jian1,兼,,совмещать; по совместительству,совмещать; по совместительству,,,,,,,
1456,bi3,彼,,"он, тот",тот; то,пюпитр,казак с шашкой,,,,"Он стоял у пюпитра, а тот казак с шашкой задумчиво смотрел на него.
— Ну что, — сказал казак, — готов к бою… или хотя бы к концерту?",
1457,jie2,杰,,герой,выдающийся; талантливый,дерево,огонь,,,,"На огне горит дерево, вдруг из его дупла выходит настоящий советский ГЕРОЙ в красном (2 тон) бушлате и буденовке. Это ВЫДАЮЩИЙСЯ полководец Кухельбекер, НЕЗАУРЯДНАЯ личность. ",
1458,lan2,栏,,перила,перила,,,,,,,
1459,su4,塑,,ваять; лепить,ваять; лепить,,,,,,,
1460,bei4,辈,,поколение,поколение,,,,,,,
1461,su4,肃,,с уважением; почтительно,с уважением; почтительно,,,,,,,
1462,zhong1,忠,,верный; преданный; быть верным [преданным],верный; преданный; быть верным [преданным],,,,,,,
1463,pin2,频,,многократный; частый; многократно; часто,многократный; частый; многократно; часто,,,,,,,
